Major,Early Career Pay,Mid-Career Pay,% High Meaning
Archaeology,43900.0,68300.0,45%
Illustration,42900.0,68300.0,36%
Radiography,52700.0,68300.0,82%
Media Arts,44000.0,68200.0,39%
Clinical Laboratory Science,52400.0,68100.0,83%
Graphics Technology & Management,38800.0,68100.0,36%
Psychology & Social Behavior,44100.0,68100.0,56%
Health Management,42000.0,68000.0,68%
Media Communication,44300.0,68000.0,42%
Mass Media,38100.0,67900.0,46%
Nutrition,45100.0,67900.0,68%
Performing Arts,42900.0,67800.0,52%
SocialStudies,43700.0,67700.0,57%
Italian Language,47800.0,67600.0,40%
Social Studies,44100.0,67500.0,61%
Commercial Photography,42000.0,67300.0,23%
Radio & Television,40800.0,67200.0,40%
Respiratory Therapy,52300.0,67200.0,82%
